Country Name,Indicator,Primary Value,Primary Value Description,Secondary Value,Secondary Value Description,WTO Membership,WTO Accession Date
Mauritius,All Products,1.05,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Mexico,All Products,7.52,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Moldova,All Products,4.57,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,26 July 2001
Mongolia,All Products,4.98,Simple Average Applied MFN tariff,2013,Year of applied MFN tariff,WTO Member,29 January 1997
Montenegro,All Products,4.14,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,29 April 2012
Morocco,All Products,11.15,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Mozambique,All Products,10.07,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,26 August 1995
Myanmar,All Products,5.60,Simple Average Applied MFN tariff,2013,Year of applied MFN tariff,WTO Member,1 January 1995
Namibia,All Products,7.58,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Nepal,All Products,12.29,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,23 April 2004
New Zealand,All Products,2.04,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Nicaragua,All Products,5.72,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,3 September 1995
Niger,All Products,11.92,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,13 December 1996
Nigeria,All Products,11.94,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Norway,All Products,7.70,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Oman,All Products,4.68,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,9 November 2000
Pakistan,All Products,13.36,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Panama,All Products,6.84,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,6 September 1997
Papua New Guinea,All Products,4.73,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,9 June 1996
Paraguay,All Products,10.05,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Peru,All Products,3.37,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Philippines,All Products,6.31,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Qatar,All Products,4.70,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,13 January 1996
Russian Federation,All Products,8.43,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,22 August 2012
Rwanda,All Products,12.73,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,22 May 1996
Saint Kitts and Nevis,All Products,9.13,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,21 February 1996
Saint Lucia,All Products,8.44,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Saint Vincent and the Grenadines,All Products,10.19,Simple Average Applied MFN tariff,2013,Year of applied MFN tariff,WTO Member,1 January 1995
Samoa,All Products,11.39,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,10 May 2012
Sao Tome and Principe,All Products,10.16,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Observer,
Senegal,All Products,11.92,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Serbia,All Products,7.45,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Observer,
Singapore,All Products,0.16,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Solomon Islands,All Products,9.54,Simple Average Applied MFN tariff,2013,Year of applied MFN tariff,WTO Member,26 July 1996
South Africa,All Products,7.57,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Sri Lanka,All Products,9.54,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Sudan,All Products,21.18,Simple Average Applied MFN tariff,2013,Year of applied MFN tariff,WTO Observer,
Suriname,All Products,10.39,Simple Average Applied MFN tariff,2013,Year of applied MFN tariff,WTO Member,1 January 1995
Swaziland,All Products,7.58,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Switzerland,All Products,6.69,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 July 1995
Syrian Arab Republic,All Products,16.52,Simple Average Applied MFN tariff,2013,Year of applied MFN tariff,WTO Observer,
Chinese Taipei,All Products,6.54,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 2002
Tajikistan,All Products,7.67,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,2 March 2013
Tanzania,All Products,12.77,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Thailand,All Products,11.57,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Timor-Leste,All Products,2.50,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,,
Togo,All Products,11.92,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,31 May 1995
Tonga,All Products,11.70,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,27 July 2007
Trinidad and Tobago,All Products,10.67,Simple Average Applied MFN tariff,2013,Year of applied MFN tariff,WTO Member,1 March 1995
Tunisia,All Products,14.05,Simple Average Applied MFN tariff,2013,Year of applied MFN tariff,WTO Member,29 March 1995
Turkey,All Products,10.66,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,26 March 1995
Uganda,All Products,12.73,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Ukraine,All Products,4.51,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,16 May 2008
United Arab Emirates,All Products,4.69,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,10 April 1996
United States,All Products,3.51,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Uruguay,All Products,10.48,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Uzbekistan,All Products,14.85,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Observer,
Viet Nam,All Products,9.54,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,11 January 2007
Yemen,All Products,7.47,Simple Average Applied MFN tariff,2013,Year of applied MFN tariff,WTO Observer,
Zambia,All Products,13.49,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Zimbabwe,All Products,16.26,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,5 March 1995
