Identifier,Database source,Country,ISO,Reg,Inc,Calendar year (nearest),Problem 1: Data Not Credible,Problem 2: Cannot Exclude Resource Revenue Tax Categories,Problem 3: Data is of Questionable Analytical Comparability,Problem 4: Cannot Exclude Resource Revenue from Sub-Components of Total Tax Revenue,"Treat with Caution 1: Un-excluded Resource Revenue are Marginal, but Non-Negligible",Treat With Caution 2: Data of somewhat questionable quality,Revenue including social contributions,Revenue excluding social contributions,Revenue excluding Grants (including social contributions),Revenue excluding grants and social contributions,Total Resource Revenue,Total Non-Resource Revenue excluding grants including social contributions,Taxes including social contributions,Taxes excluding social contributions,Resource taxes,Non-Resource tax including social contributions,Non-resource tax excluding social contributions,Direct taxes including social contributions and resource revenue,"Direct taxes including social contributions, excluding resource revenue","Direct taxes excluding social security, including resource revenue",Direct taxes excluding social contributions and resource revenue,"Taxes on income, profits, & capital gains ","Resource Component of Taxes on income, profits, and capital gains","Non-resource component of taxes on income, profits, and capital gains",Individuals ,Corporations and other enterprises ,Resource Component of Corporations and other enterprises,Non-resource component of Corporations and other enterprises,Taxes on payroll and workforce,Taxes on property,Indirect,Resource Component of Indirect,Non-Resource Component of Indirect Tax,"Taxes on goods and services,                Total","Taxes on goods and services, of which Taxes on Sales","Taxes on goods and services, of which Excises","Taxes on international trade and transactions, Total",Taxes on international trade and transactions Of which Import,Taxes on international trade and transactions Of which Export,Other taxes,Consolidated Non-Tax Revenue,Non-Resource Component of Non-Tax,Resources Component of Non-Tax,Social contributions,Grants,,TotRev,TotTax,TotNonTax,Direct,Income,Indiv,Corp,Indirect,GS,Trade,Prob1,Prob2,Prob3,Prob4,twc1,twc2
SWZ2003,GFS,Swaziland,SWZ,7,2,2003,,,,,,,0.288149019607843,0.288149019607843,0.278715151515152,0.278715151515152,,,0.272573975044563,0.272573975044563,0,0.272573975044563,0.272573975044563,0.0839921568627451,0.0839921568627451,0.0839921568627451,0.0839921568627451,0.0786830659536542,0,0.0786830659536542,0.0496477718360071,0.0254602495543672,0,0.0254602495543672,0,0.00530909090909091,0.187990017825312,0,0.187990017825312,0.0532114081996435,,,0.134778609625668,0.133914438502674,0,0,0.00614046345811052,,,0,0.00943386809269162,,0.278715151515152,0.272573975044563,0.00614117647058826,0.0839921568627451,0.0786830659536542,0.0496477718360071,0.0254602495543672,0.187990017825312,0.0532114081996435,0.134778609625668,,,,,,
SYC2002,GFS,Seychelles,SYC,7,4,2002,,,,,,,0.420460491889063,0.354081632653061,0.413893249607535,0.347514390371533,,,0.327786499215071,0.261407639979069,0,0.327786499215071,0.261407639979069,0.137624280481423,0.137624280481423,0.0712454212454212,0.0712454212454212,0.0662218733647305,0,0.0662218733647305,0.0000261643118785976,0.0661957090528519,0,0.0661957090528519,0,0.00510204081632653,0.190083725798011,0,0.190083725798011,0.0841182626896913,,,0.101988487702773,0.101988487702773,0,0.00397697540554683,0.0861067503924647,,,0.0663788592360021,0.006567242281528,,0.347514390371533,0.261407639979069,0.0861067503924647,0.0712454212454212,0.0662218733647305,0.0000261643118785976,0.0661957090528519,0.190083725798011,0.0841182626896913,0.101988487702773,,,,,,
SYC2003,GFS,Seychelles,SYC,7,4,2003,,,,,,,0.460718971398583,0.389950144319076,0.457334033062188,0.386565205982682,,,0.39808449225925,0.327315665179743,0,0.39808449225925,0.327315665179743,0.14379427971661,0.14379427971661,0.0730254526371031,0.0730254526371031,0.0725793754919969,0,0.0725793754919969,0,0.0725793754919969,0,0.0725793754919969,0,0.000446077145106271,0.25429021254264,0,0.25429021254264,0.143558121228024,,,0.10335869850433,0.10335869850433,0,0.00737339281028601,0.0592495408029389,,,0.0707688270795067,0.00338493833639465,,0.386565205982682,0.327315665179743,0.0592495408029389,0.0730254526371031,0.0725793754919969,0,0.0725793754919969,0.25429021254264,0.143558121228024,0.10335869850433,,,,,,
SYC2004,GFS,Seychelles,SYC,7,4,2004,,,,,,,0.410441941074523,0.356195840554593,0.408080589254766,0.353834488734835,,,0.349415077989601,0.295168977469671,0,0.349415077989601,0.295168977469671,0.119085788561525,0.119085788561525,0.0648396880415945,0.0648396880415945,0.0646447140381282,0,0.0646447140381282,0,0.0646447140381282,0,0.0646447140381282,0,0.000194974003466205,0.230329289428076,0,0.230329289428076,0.148765164644714,,,0.0760831889081456,0.0760831889081456,0,0.00548093587521664,0.0586655112651646,,,0.0542461005199307,0.00236135181975737,,0.353834488734835,0.295168977469671,0.0586655112651647,0.0648396880415945,0.0646447140381282,0,0.0646447140381282,0.230329289428076,0.148765164644714,0.0760831889081456,,,,,,
SYC2005,GFS,Seychelles,SYC,7,4,2005,,,,,,,0.441272007912958,0.355831849653808,0.431032640949555,0.345592482690406,,,0.3584431256182,0.27300296735905,0,0.3584431256182,0.27300296735905,0.140724035608309,0.140724035608309,0.0552838773491592,0.0552838773491592,0.0552799208704253,0,0.0552799208704253,0.00430069238377844,0.0509772502472799,0,0.0509772502472799,0,0.00000395647873392681,0.217719090009891,0,0.217719090009891,0.148674579624135,0.121723046488625,,0.0690445103857567,0.0554698318496538,0,0,0.0725895153313551,,,0.0854401582591494,0.0102393669634026,,0.345592482690406,0.27300296735905,0.0725895153313551,0.0552838773491592,0.0552799208704253,0.00430069238377844,0.0509772502472799,0.217719090009891,0.148674579624135,0.0690445103857567,,,,,,
SYC2006,GFS,Seychelles,SYC,7,4,2006,,,,,,,0.477718360071301,0.391479500891266,0.472549019607843,0.386310160427807,,,0.33317825311943,0.246939393939394,0,0.33317825311943,0.246939393939394,0.139169340463458,0.139169340463458,0.0529304812834225,0.0529304812834225,0.0529269162210339,0,0.0529269162210339,0.00768270944741533,0.0452406417112299,0,0.0452406417112299,0,0.0000035650623885918,0.194010695187166,0,0.194010695187166,0.146274509803922,0.115793226381462,,0.0477361853832442,0.0401960784313726,0,0,0.139376114081996,,,0.0862388591800357,0.00516934046345811,,0.386310160427807,0.246939393939394,0.139370766488414,0.0529304812834225,0.0529269162210339,0.00768270944741533,0.0452406417112299,0.194010695187166,0.146274509803922,0.0477361853832442,,,,,,
SYC2007,GFS,Seychelles,SYC,7,4,2007,,,,,,,0.359125036095871,0.294107710077967,0.356713831937626,0.291696505919723,,,0.297529598613919,0.232512272596015,0,0.297529598613919,0.232512272596015,0.117063239965348,0.117063239965348,0.0520459139474444,0.0520459139474444,0.0520459139474444,0,0.0520459139474444,0.0109298296274906,0.0411160843199538,0,0.0411160843199538,0,0,0.180466358648571,0,0.180466358648571,0.133758302050245,0.115449032630667,,0.0467080565983252,0.0382890557320243,0,0,0.0591842333237078,,,0.0650173260179036,0.0024112041582443,,0.291696505919723,0.232512272596015,0.0591842333237078,0.0520459139474444,0.0520459139474444,0.0109298296274906,0.0411160843199538,0.180466358648571,0.133758302050245,0.0467080565983252,,,,,,
SYC2008,GFS,Seychelles,SYC,7,4,2008,,,,,,,0.383457964359899,0.334410189133049,0.348343719252214,0.299295944025363,,,0.272726577019788,0.223678801792938,0,0.272726577019788,0.223678801792938,0.104200284246201,0.104200284246201,0.0551525090193506,0.0551525090193506,0.0551525090193506,0,0.0551525090193506,0.00889143981633322,0.0462610692030174,0,0.0462610692030174,0,0,0.168526292773587,0,0.168526292773587,0.125343828577676,0.103407674647425,,0.0431824641959112,0.0429638132721111,0,0,0.0756182354870449,,,0.0490477752268503,0.0351142451076856,,0.299295944025363,0.223678801792938,0.0756171422324259,0.0551525090193506,0.0551525090193506,0.00889143981633322,0.0462610692030174,0.168526292773587,0.125343828577676,0.0431824641959112,,,,,,
SYC2009,GFS,Seychelles,SYC,7,4,2009,,,,,,,0.361943986820428,0.329411254660539,0.33026966097286,0.297736928812971,,,0.284949760166479,0.25241702800659,0,0.284949760166479,0.25241702800659,0.101976060088442,0.101976060088442,0.0694433279545652,0.0694433279545652,0.0694433279571664,0,0.0694433279571664,0.0105579021000607,0.0588854258571057,0,0.0588854258571057,0,0,0.182973700045088,0,0.182973700045088,0.143869068511229,0.116862438829446,,0.0391046315338594,0.0378997040986734,0,0,0.0453157776554236,,,0.032532732159889,0.0316743258475679,,0.297736928812971,0.25241702800659,0.0453199008063817,0.0694433279545652,0.0694433279571664,0.0105579021000607,0.0588854258571057,0.182973700045088,0.143869068511229,0.0391046315338594,,,,,,
SYC2010,GFS,Seychelles,SYC,7,4,2010,,,,,,,0.360935442486117,0.339016314480991,0.351359835711234,0.329440707731739,,,0.300433021443827,0.278513893464331,0,0.300433021443827,0.278513893464331,0.11079653643742,0.11079653643742,0.088877408457924,0.088877408457924,0.0888774084434003,0,0.0888774084434003,0.012288025066211,0.0765893833771892,0,0.0765893833771892,0,0,0.189636485020077,0,0.189636485020077,0.129027694149509,0.1091705992217,,0.0606087908705681,0.0594225739008971,0,0,0.050926814241777,,,0.0219191279888936,0.00957560679282358,,0.329440707731739,0.278513893464331,0.0509268142674071,0.088877408457924,0.0888774084434003,0.012288025066211,0.0765893833771892,0.189636485020077,0.129027694149509,0.0606087908705681,,,,,,
