Identifier,Database source,Country,ISO,Reg,Inc,Calendar year (nearest),Problem 1: Data Not Credible,Problem 2: Cannot Exclude Resource Revenue Tax Categories,Problem 3: Data is of Questionable Analytical Comparability,Problem 4: Cannot Exclude Resource Revenue from Sub-Components of Total Tax Revenue,"Treat with Caution 1: Un-excluded Resource Revenue are Marginal, but Non-Negligible",Treat With Caution 2: Data of somewhat questionable quality,Revenue including social contributions,Revenue excluding social contributions,Revenue excluding Grants (including social contributions),Revenue excluding grants and social contributions,Total Resource Revenue,Total Non-Resource Revenue including social contributions,Taxes including social contributions,Taxes excluding social contributions,Resource taxes,Non-Resource tax including social contributions,Non-resource tax excluding social contributions,Direct taxes including social contributions and resource revenue,"Direct taxes including social contributions, excluding resource revenue","Direct taxes excluding social contributions, including resource revenue",Direct taxes excluding social contributions and resource revenue,"Taxes on income, profits, and capital gains ","Resource Component of Taxes on income, profits, and capital gains","Non-resource component of taxes on income, profits, and capital gains",Individuals ,Corporations and other enterprises ,Resource Component of Corporations and other enterprises,Non-resource component of Corporations and other enterprises,Taxes on payroll and workforce,Taxes on property,Indirect,Resource Component of Indirect,Non-Resource Component of Indirect Tax,"Taxes on goods and services,                Total","Taxes on goods and services, of which Taxes on Sales","Taxes on goods and services, of which Excises","Taxes on international trade and transactions, Total",Taxes on international trade and transactions Of which Import,Taxes on international trade and transactions Of which Export,Other taxes,Consolidated Non-Tax Revenue,Non-Resource Component of Non-Tax,Resources Component of Non-Tax,Social contributions,Grants,..,TotRev,TotTax,TotNonTax,Direct,Income,Indiv,Corp,Indirect,GS,Trade,Prob1,Prob2,Prob3,Prob4,twc1,twc2
IND2012,GFS,India,IND,6,2,2012,,,,,,,0.125725581516418,0.125423235027341,0.125436550286628,0.125134203797552,,,0.108187182511158,0.107884836022081,0,0.108187182511158,0.107884836022081,0.0568147096572672,0.0568147096572672,0.0568147096572672,0.0565123631681907,0.0563742048387452,0,0.0563742048387452,0.0190086839518088,0.0373655208869364,0,0.0373655208869364,0,0.000138158329445545,0.0513724728538906,0,0.0513724728538906,0.032681653174538,0.000165789995334654,0.0194327699543677,0.0186908196793525,0.0186838116481488,0.00000700803120375951,0,0.0172493677754707,,,0.000302346489076482,0.000289031229789339,,0.125134203797552,0.107884836022081,0.0172493677754707,0.0565123631681907,0.0563742048387452,0.0190086839518088,0.0373655208869364,0.0513724728538906,0.032681653174538,0.0186908196793525,,,,,,
IRL1973,OECD Tax Statistics,Ireland,IRL,2,4,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL1974,OECD Tax Statistics,Ireland,IRL,2,4,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL1975,OECD Tax Statistics,Ireland,IRL,2,4,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL1976,OECD Tax Statistics,Ireland,IRL,2,4,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL1977,OECD Tax Statistics,Ireland,IRL,2,4,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL1978,OECD Tax Statistics,Ireland,IRL,2,4,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL1979,OECD Tax Statistics,Ireland,IRL,2,4,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL1980,OECD Tax Statistics,Ireland,IRL,2,4,1980,,,,,,,,,,,,,0.251189880139584,0.246879380974056,0,0.251189880139584,0.246879380974056,0.122711500531027,0.122711500531027,0.118401001365498,0.118401001365498,0.112098543468366,0,0.112098543468366,0.0981547564861174,0.0139437869822485,0,0.0139437869822485,0.000662721893491124,0.00563973600364133,0.128478379608557,0,0.128478379608557,0.128378167197694,0.0453145197997269,0.0793080716128053,0.000100212410863298,0.000100212410863298,0,0,,,,0.00431049916552875,,,,0.246879380974056,,0.118401001365498,0.112098543468366,0.0981547564861174,0.0139437869822485,0.128478379608557,0.128378167197694,0.000100212410863298,,,,,,
IRL1981,OECD Tax Statistics,Ireland,IRL,2,4,1981,,,,,,,,,,,,,0.2626051891216,0.258073210378243,0,0.2626051891216,0.258073210378243,0.12583144732729,0.12583144732729,0.121299468583932,0.121299468583932,0.115259206001876,0,0.115259206001876,0.0994110659581119,0.0158481400437637,0,0.0158481400437637,0.000319912472647702,0.00572035010940919,0.136773679274773,0,0.136773679274773,0.136614942169428,0.0490613316661457,0.082731040950297,0.00015873710534542,0.00015873710534542,0,0,,,,0.0045319787433573,,,,0.258073210378243,,0.121299468583932,0.115259206001876,0.0994110659581119,0.0158481400437637,0.136773679274773,0.136614942169428,0.00015873710534542,,,,,,
